%% BEGIN filetest.dat
[
{{0, 0}, {0.1, 0.489217}, {0.2, 0.914933},

  {0.3, 1.21952}, {0.4, 1.35655}, {0.5, 1.29517},

  {0.6, 1.02301}, {0.7, 0.547479}, {0.8, -0.104732},

  {0.9, -0.889868}, {1., -1.75088}, {1.1, -2.62238},

  {1.2, -3.4364}, {1.3, -4.12831}, {1.4, -4.64256},

  {1.5, -4.93756}, {1.6, -4.98935}, {1.7, -4.7937},

  {1.8, -4.36653}, {1.9, -3.74246}, {2., -2.97178},

  {2.1, -2.11599}, {2.2, -1.24239}, {2.3, -0.418164},

  {2.4, 0.295512}, {2.5, 0.84882}, {2.6, 1.2076},

  {2.7, 1.35627}, {2.8, 1.29903}, {2.9, 1.0593},

  {3., 0.677496}, {3.1, 0.207184}, {3.2, -0.289882},

  {3.3, -0.749475}, {3.4, -1.11083}, {3.5, -1.32228},

  {3.6, -1.34604}, {3.7, -1.16179}, {3.8, -0.768677},

  {3.9, -0.185544}, {4., 0.550574}, {4.1, 1.38761},

  {4.2, 2.263}, {4.3, 3.1091}, {4.4, 3.85919},

  {4.5, 4.45329}, {4.6, 4.84347}, {4.7, 4.99808},

  {4.8, 4.90456}, {4.9, 4.5705}, {5., 4.02303},

  {5.1, 3.30639}, {5.2, 2.47802}, {5.3, 1.60352},

  {5.4, 0.750856}, {5.5, -0.0156125}, {5.6, -0.640751},

  {5.7, -1.08345}, {5.8, -1.32014}, {5.9, -1.34676},

  {6., -1.17893}, {6.1, -0.850365}, {6.2, -0.409711},

  {6.3, 0.084022}, {6.4, 0.566914}, {6.5, 0.97605},

  {6.6, 1.25533}, {6.7, 1.36069}, {6.8, 1.2642},

  {6.9, 0.956782}, {7., 0.449173}, {7.1, -0.228866},

  {7.2, -1.03104}, {7.3, -1.89854}, {7.4, -2.76511},

  {7.5, -3.56294}, {7.6, -4.22854}, {7.7, -4.70839},

  {7.8, -4.96365}, {7.9, -4.97357}, {8., -4.73734},

  {8.1, -4.27417}, {8.2, -3.62157}, {8.3, -2.83204},

  {8.4, -1.96848}, {8.5, -1.09857}, {8.6, -0.288905},

  {8.7, 0.400909}, {8.8, 0.92342}, {8.9, 1.24743},

  {9., 1.36064}, {9.1, 1.27057}, {9.2, 1.00372},

  {9.3, 0.602995}, {9.4, 0.123725}, {9.5, -0.371511},

  {9.6, -0.818656}, {9.7, -1.1581}, {9.8, -1.34019},

  {9.9, -1.32988}, {10., -1.11003}}
]
%% END filetest.dat
